Id,applicationName,releaseID,businessScenario,transactionName,SLA,TPS,backendCall,callType,comments,discrepancyIndicator,additionalDetails,createdBy,created_date,modifiedBy,modified_date
778,SVTM,2023.1,SVTM Scenario,SVTM_Balance,9.6,13.7,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
779,SVTM,2023.1,SVTM Scenario,SVTM_Loans,4.9,99.4,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
780,SVTM,2023.1,SVTM Scenario,SVTM_Accountlist,5.8,71.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
781,SVTM,2023.1,SVTM Scenario,SVTM_Transactions,8.4,36.4,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
782,SVTM,2023.1,SVTM Scenario,SVTM_Reports,6.2,10,,,validation completed,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
783,SVTM,2023.1,SVTM Scenario,SVTM_Profile,9.6,87.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
784,SVTM,2023.1,SVTM Scenario,SVTM_Settings,1.2,45,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
785,SVTM,2023.1,SVTM Scenario,SVTM_Payments,3.7,56,,,tps verification done,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
786,SVTM,2023.1,SVTM Scenario,SVTM_Investments,6.4,51.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
787,SVTM,2023.1,SVTM Scenario,SVTM_Withdrawal,4.5,47.5,,,Error rate rejected,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
788,SVTM,2023.1,SVTM Scenario,SVTM_Registration,3.7,60.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
789,SVTM,2023.1,SVTM Scenario,SVTM_Transfer,6.1,98.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
790,SVTM,2023.1,SVTM Scenario,SVTM_Notifications,7.3,8.2,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
791,SVTM,2023.1,SVTM Scenario,SVTM_Logout,7.4,26.5,,,SLA approved,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
792,SVTM,2023.1,SVTM Scenario,SVTM_Cards,1.5,69.9,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
793,SVTM,2023.1,SVTM Scenario,SVTM_History,1.3,22.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
794,SVTM,2023.1,SVTM Scenario,SVTM_Statement,7.3,37.2,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
795,SVTM,2023.1,SVTM Scenario,SVTM_Dashboard,2.5,23.4,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
796,SVTM,2023.1,SVTM Scenario,SVTM_LogoffClient,5.9,21.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
797,SVTM,2023.1,SVTM Scenario,SVTM_Security,8.9,88.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
798,SVTM,2023.3,SVTM Scenario,SVTM_Withdrawal,4.8,99.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
799,SVTM,2023.3,SVTM Scenario,SVTM_Notifications,2.4,18.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
800,SVTM,2023.3,SVTM Scenario,SVTM_Loans,5.7,5.6,,,SLA timeout to be checked,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
801,SVTM,2023.3,SVTM Scenario,SVTM_Transactions,7,77.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
802,SVTM,2023.3,SVTM Scenario,SVTM_Security,1.6,29.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
803,SVTM,2023.3,SVTM Scenario,SVTM_Statements,7.9,11.4,,,validation completed,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
804,SVTM,2023.3,SVTM Scenario,SVTM_History,2.1,78.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
805,SVTM,2023.3,SVTM Scenario,SVTM_Registration,5.4,11.2,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
806,SVTM,2023.3,SVTM Scenario,SVTM_Limits,2.4,96.9,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
807,SVTM,2023.3,SVTM Scenario,SVTM_Reports,7.4,46.9,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
808,SVTM,2023.3,SVTM Scenario,SVTM_Bills,7,19.7,,,tps verification done,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
809,SVTM,2023.3,SVTM Scenario,SVTM_Settings,3.4,99,,,issue with scenario,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
810,SVTM,2023.3,SVTM Scenario,SVTM_Profile,4.6,94.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
811,SVTM,2023.3,SVTM Scenario,SVTM_Cards,1.5,83,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
812,SVTM,2023.3,SVTM Scenario,SVTM_Balance,3.8,13.6,,,SLA approved,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
813,SVTM,2023.3,SVTM Scenario,SVTM_Login,9.1,84.6,,,sla validation to be done,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
814,SVTM,2023.3,SVTM Scenario,SVTM_Payments,5.2,20.2,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
815,SVTM,2023.3,SVTM Scenario,SVTM_Investments,1.5,24.5,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
816,SVTM,2023.3,SVTM Scenario,SVTM_Dashboard,5.5,46.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
817,SVTM,2023.3,SVTM Scenario,SVTM_Transfer,8.4,19.8,,,validation completed,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
818,SVTM,2023.M03,SVTM Scenario,SVTM_Transfer,6.9,42.5,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
819,SVTM,2023.M03,SVTM Scenario,SVTM_Savings,7.1,91.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
820,SVTM,2023.M03,SVTM Scenario,SVTM_Insurance,3.6,25.3,,,validation completed,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
821,SVTM,2023.M03,SVTM Scenario,SVTM_Limits,5.5,16.2,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
822,SVTM,2023.M03,SVTM Scenario,SVTM_Cards,6.5,51.5,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
823,SVTM,2023.M03,SVTM Scenario,SVTM_Withdrawal,6.1,68.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
824,SVTM,2023.M03,SVTM Scenario,SVTM_Dashboard,2.2,91,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
825,SVTM,2023.M03,SVTM Scenario,SVTM_Mortgage,9.5,52.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
826,SVTM,2023.M03,SVTM Scenario,SVTM_Transactions,5.2,11.6,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
827,SVTM,2023.M03,SVTM Scenario,SVTM_Login,5.7,82.5,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
828,SVTM,2023.M03,SVTM Scenario,SVTM_Payments,9.1,76.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
829,SVTM,2023.M03,SVTM Scenario,SVTM_Investments,4.8,8.7,,,validation completed,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
830,SVTM,2023.M03,SVTM Scenario,SVTM_Settings,3.9,66.5,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
831,SVTM,2023.M03,SVTM Scenario,SVTM_Registration,5.5,29.7,,,Error rate rejected,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
832,SVTM,2023.M03,SVTM Scenario,SVTM_Balance,9,79.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
833,SVTM,2023.M03,SVTM Scenario,SVTM_History,9.8,55.8,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
834,SVTM,2023.M03,SVTM Scenario,SVTM_Security,1.5,96.1,,,Error rate rejected,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
835,SVTM,2023.M03,SVTM Scenario,SVTM_Loans,1.7,42.4,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
836,SVTM,2024.M01,SVTM Scenario,SVTM_Transfer,8.5,51.1,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
837,SVTM,2024.M01,SVTM Scenario,SVTM_Mortgage,4.5,42.5,,,,,,defaultUser,6/6/2024 10:10,defaultUser,6/6/2024 10:10
